,CODE_COMMUNE,LIBL_COMMUNE,NOM_EPCI,NOM_CANTON,TOTAL,TOTAL_FEM,TOTAL_HOM,TOTAL_M75A,TOTAL_7584A,TOTAL_P85A,TOTAL_DOM,TOTAL_ETA,ANNEE_REF,CODE_CANTON
355,63109,CHIDRAC,Agglo Pays d'Issoire,LE SANCY,6,0,0,0,0,0,0,0,2020,6329
356,63182,JUMEAUX,Agglo Pays d'Issoire,BRASSAC-LES-MINES,22,19,0,0,6,14,15,7,2020,6306
357,63258,OLLIERGUES,Ambert Livradois Forez,LES MONTS-DU-LIVRADOIS,31,22,9,0,13,14,13,18,2020,6322
358,63233,MONTAIGUT,Pays de Saint-Eloy,SAINT-ELOY-LES-MINES,19,16,0,0,0,12,10,9,2020,6326
359,63444,VARENNES-SUR-USSON,Agglo Pays d'Issoire,BRASSAC-LES-MINES,0,0,0,0,0,0,0,0,2020,6306
360,63350,SAINT-GEORGES-SUR-ALLIER,Mond'Arverne Communauté,VIC-LE-COMTE,11,7,0,0,0,0,8,0,2020,6331
361,63257,OLBY,Dômes Sancy Artense,ORCINES,12,8,0,0,0,11,8,0,2020,6323
362,63082,CHAMPS,Combrailles Sioule et Morge,SAINT-GEORGES-DE-MONS,8,0,0,0,0,0,0,0,2020,6327
363,63094,CHARENSAT,Pays de Saint-Eloy,SAINT-ELOY-LES-MINES,11,10,0,0,0,8,6,0,2020,6326
364,63175,HERMENT,Chavanon Combrailles et Volcans,SAINT-OURS,16,9,7,0,0,12,10,6,2020,6328
365,63309,SAILLANT,Ambert Livradois Forez,AMBERT,7,6,0,0,0,0,0,0,2020,6302
366,63331,SAINT-CLEMENT-DE-VALORGUE,Ambert Livradois Forez,AMBERT,8,7,0,0,0,0,0,0,2020,6302
367,63366,SAINT-JEAN-EN-VAL,Agglo Pays d'Issoire,BRASSAC-LES-MINES,0,0,0,0,0,0,0,0,2020,6306
368,63384,SAINT-PIERRE-LA-BOURLHONNE,Ambert Livradois Forez,LES MONTS-DU-LIVRADOIS,0,0,0,0,0,0,0,0,2020,6322
369,63404,SAINT-YVOINE,Agglo Pays d'Issoire,ISSOIRE,8,6,0,0,0,7,6,0,2020,6318
370,63424,SURAT,Riom Limagne et Volcans,AIGUEPERSE,11,8,0,0,0,10,10,0,2020,6301
371,63445,VASSEL,Billom Communauté,BILLOM,6,0,0,0,0,0,0,0,2020,6305
372,63464,VITRAC,Combrailles Sioule et Morge,SAINT-GEORGES-DE-MONS,9,6,0,0,0,6,6,0,2020,6327
373,63189,LAQUEUILLE,Dômes Sancy Artense,ORCINES,0,0,0,0,0,0,0,0,2020,6323
374,63021,AUTHEZAT,Mond'Arverne Communauté,LES MARTRES-DE-VEYRE,7,0,0,0,0,0,0,0,2020,6321
375,63117,COMPAINS,Massif du Sancy,LE SANCY,6,6,0,0,0,0,0,0,2020,6329
376,63073,CHADELEUF,Agglo Pays d'Issoire,VIC-LE-COMTE,8,6,0,0,0,0,0,0,2020,6331
377,63241,MONTPEYROUX,Agglo Pays d'Issoire,VIC-LE-COMTE,0,0,0,0,0,0,0,0,2020,6331
378,63415,SAUXILLANGES,Agglo Pays d'Issoire,BRASSAC-LES-MINES,27,20,7,0,7,18,16,11,2020,6306
379,63155,ESTANDEUIL,Billom Communauté,BILLOM,7,0,0,0,0,6,0,0,2020,6305
380,63265,ORLEAT,Entre Dore et Allier,LEZOUX,36,19,17,0,13,20,20,16,2020,6319
381,63337,SAINT-ELOY-LA-GLACIERE,Ambert Livradois Forez,LES MONTS-DU-LIVRADOIS,0,0,0,0,0,0,0,0,2020,6322
382,63255,NONETTE-ORSONNETTE,Agglo Pays d'Issoire,BRASSAC-LES-MINES,7,6,0,0,0,6,0,0,2020,6306
383,63295,RANDAN,Plaine Limagne,MARINGUES,38,28,10,7,7,24,22,16,2020,6320
384,63181,JOSERAND,Combrailles Sioule et Morge,SAINT-GEORGES-DE-MONS,7,6,0,0,0,0,0,0,2020,6327
385,63118,CONDAT-EN-COMBRAILLE,Chavanon Combrailles et Volcans,SAINT-OURS,29,15,14,0,0,20,16,13,2020,6328
386,63246,MURAT-LE-QUAIRE,Massif du Sancy,LE SANCY,6,0,0,0,0,0,6,0,2020,6329
387,63092,CHARBONNIERES-LES-VARENNES,Riom Limagne et Volcans,SAINT-OURS,24,20,0,0,0,17,13,11,2020,6328
388,63153,ESPINCHAL,Massif du Sancy,LE SANCY,0,0,0,0,0,0,0,0,2020,6329
389,63307,ROMAGNAT,Clermont Auvergne Métropole,AUBIERE,147,105,42,14,35,98,76,71,2020,6303
390,63113,CLERMONT-FERRAND,Clermont Auvergne Métropole,CLERMONT-FERRAND 6,388,291,97,58,88,242,187,201,2020,6315
391,63208,MARCILLAT,Combrailles Sioule et Morge,SAINT-GEORGES-DE-MONS,6,0,0,0,0,0,0,0,2020,6327
392,63435,TOURZEL-RONZIERES,Agglo Pays d'Issoire,LE SANCY,0,0,0,0,0,0,0,0,2020,6329
393,63108,LE CHEIX,Riom Limagne et Volcans,RIOM,6,0,0,0,0,0,0,0,2020,6325
394,63249,NERONDE-SUR-DORE,Thiers Dore et Montagne,LES MONTS-DU-LIVRADOIS,14,10,0,0,0,9,8,6,2020,6322
395,63062,BUXIERES-SOUS-MONTAIGUT,Pays de Saint-Eloy,SAINT-ELOY-LES-MINES,0,0,0,0,0,0,0,0,2020,6326
396,63043,BLOT-L'EGLISE,Combrailles Sioule et Morge,SAINT-GEORGES-DE-MONS,14,9,0,0,0,9,11,0,2020,6327
397,63375,SAINT-MARTIN-DES-PLAINS,Agglo Pays d'Issoire,BRASSAC-LES-MINES,0,0,0,0,0,0,0,0,2020,6306
398,63113,CLERMONT-FERRAND,Clermont Auvergne Métropole,CLERMONT-FERRAND 1,488,362,126,77,127,284,269,219,2020,6310
399,63213,LES MARTRES-D'ARTIERE,Riom Limagne et Volcans,AIGUEPERSE,26,20,6,0,9,15,14,12,2020,6301
400,63014,AUBIERE,Clermont Auvergne Métropole,AUBIERE,195,152,43,18,46,131,105,90,2020,6303
401,63023,AUZELLES,Ambert Livradois Forez,LES MONTS-DU-LIVRADOIS,7,0,0,0,0,0,0,0,2020,6322
402,63100,CHATEAUNEUF-LES-BAINS,Combrailles Sioule et Morge,SAINT-ELOY-LES-MINES,12,12,0,0,0,7,6,6,2020,6326
403,63355,SAINT-GERVAIS-SOUS-MEYMONT,Ambert Livradois Forez,LES MONTS-DU-LIVRADOIS,15,12,0,0,0,9,9,6,2020,6322
